================================================================================
       發音錯誤檢測之分類效能比較 (以 MCC 分數排序)
================================================================================
                Method  Accuracy  Precision   Recall  F1-Score       MCC
     mean_logit_margin  0.793070   0.176943 0.300600  0.222761  0.117813
              kurtosis  0.854972   0.206271 0.165085  0.183394  0.105670
              skewness  0.851258   0.201360 0.171195  0.185056  0.104221
         gmm_weights_0  0.874960   0.232898 0.116639  0.155434  0.102638
prosetrior_probability  0.516339   0.127815 0.670158  0.214684  0.101243
          entropy_mean  0.847082   0.194424 0.175014  0.184209  0.100268
           gmm_means_1  0.651917   0.127739 0.433824  0.197364  0.069247
           gmm_means_0  0.360902   0.110918 0.780906  0.194246  0.062045
             max_logit  0.587120   0.120325 0.504746  0.194325  0.061078
                evt_k3  0.782597   0.134983 0.222586  0.168053  0.053708
         autocorr_lag1  0.878608   0.171588 0.060229  0.089162  0.046327
            gmm_vars_1  0.857275   0.128065 0.076923  0.096115  0.024759
            gmm_vars_0  0.132306   0.099640 0.970104  0.180719  0.016395
         gmm_weights_1  0.885648   0.104607 0.021058  0.035059  0.002845
        logit_variance  0.105967   0.098287 0.986361  0.178760 -0.012059
================================================================================
